Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
WN,DAL,0,132,12,5,159,27300,473,24,2.68,3.45,160,1
WN,MKE,0,92,13,3,90,26100,473,24,2.79,2.82,126,1
WN,CHS,0,69,10,5,68,26100,473,24,2.79,2.82,126,1
WN,CVG,0,390,14,5,67,26100,473,24,2.79,2.82,126,1
WN,STL,0,46,8,3,103,26100,473,24,2.79,2.82,126,1
WN,CVG,0,123,8,4,68,26100,473,24,2.79,2.82,126,1
WN,PIT,0,20,17,10,30,26100,473,24,2.79,2.82,126,1
WN,AUS,7,195,14,5,183,26100,473,24,2.79,2.82,126,1
WN,PVD,9,90,24,4,56,26100,473,24,2.79,2.82,126,1
WN,SDF,4,238,15,6,78,26100,473,24,2.79,2.82,126,1
WN,BNA,0,33,10,5,87,26100,473,24,2.79,2.82,126,1
WN,PWM,0,63,9,4,64,26100,473,24,2.79,2.82,126,1
WN,CMH,0,38,8,4,52,26100,473,24,2.79,2.82,126,0
WN,ROC,0,56,11,12,39,26100,473,24,2.79,2.82,126,0
WN,BOS,0,99,9,21,55,27300,473,24,2.68,3.45,160,0
WN,CHS,0,26,13,3,68,26100,473,24,2.79,2.82,126,0
WN,ALB,0,136,14,6,46,26100,473,24,2.79,2.82,126,0
WN,OKC,0,29,15,12,146,26100,473,24,2.79,2.82,126,0
WN,SLC,0,36,9,4,246,26100,473,24,2.79,2.82,126,0
WN,DTW,0,62,12,7,59,26100,473,24,2.79,2.82,126,0
WN,MHT,0,54,7,4,60,26100,473,24,2.79,2.82,126,0
WN,BOS,0,62,16,10,55,26100,473,24,2.79,2.82,126,0
WN,AUS,0,34,11,3,173,27300,473,24,2.68,3.45,160,0
WN,MCO,50,65,16,12,115,26100,473,24,2.79,2.82,126,0
WN,PHX,0,46,12,2,258,27300,473,24,2.68,3.45,160,0
WN,SAN,0,82,12,3,283,27300,473,24,2.68,3.45,160,0
WN,SDF,0,30,9,4,76,26100,473,24,2.79,2.82,126,0
WN,ORF,0,31,12,5,29,26100,473,24,2.79,2.82,126,0
WN,CLT,0,98,12,7,52,26100,473,24,2.79,2.82,126,0
WN,CLE,0,43,7,5,44,26100,473,24,2.79,2.82,126,0
WN,CLE,0,26,10,4,52,26100,473,24,2.79,2.82,126,0
WN,DEN,0,32,13,4,196,26100,473,24,2.79,2.82,126,0
WN,OKC,0,31,12,4,150,26100,473,24,2.79,2.82,126,0
WN,CLT,27,54,22,8,87,26100,473,24,2.79,2.82,126,0
WN,MDW,0,34,14,5,89,26100,473,24,2.79,2.82,126,0
WN,MCO,0,37,11,8,112,27300,473,24,2.68,3.45,160,0
WN,FLL,0,46,9,7,139,27300,473,24,2.68,3.45,160,0
WN,RDU,0,104,9,6,45,27300,473,24,2.68,3.45,160,0
WN,ATL,0,37,10,3,86,26100,473,24,2.79,2.82,126,0
WN,RDU,1,16,16,3,52,26100,473,24,2.79,2.82,126,0
WN,CVG,0,30,11,4,69,26100,473,24,2.79,2.82,126,0
WN,FLL,0,87,15,10,121,26100,473,24,2.79,2.82,126,0
WN,MSY,0,32,15,9,129,26100,473,24,2.79,2.82,126,0
WN,DEN,44,63,19,6,192,26100,473,24,2.79,2.82,126,0
WN,MEM,0,21,20,41,76,26100,473,24,2.79,2.82,126,0
WN,MCI,0,51,10,3,128,27300,473,24,2.68,3.45,160,0
WN,PBI,0,274,8,3,114,26100,473,24,2.79,2.82,126,0
WN,PWM,2,15,8,3,76,26100,473,24,2.79,2.82,126,0
WN,MDW,0,98,9,5,89,26100,473,24,2.79,2.82,126,1
WN,MSP,62,32,39,6,167,27300,473,24,2.68,3.45,160,1
WN,DEN,41,88,27,8,195,26100,473,24,2.79,2.82,126,1
WN,STL,0,16,10,8,106,26100,473,24,2.79,2.82,126,1
WN,PWM,0,33,9,4,65,26100,473,24,2.79,2.82,126,1
WN,FLL,0,93,10,7,119,27300,473,24,2.68,3.45,160,1
WN,BUF,0,46,10,3,45,27300,473,24,2.68,3.45,160,1
WN,SMF,9,19,22,7,320,26100,473,24,2.79,2.82,126,1
WN,SLC,7,36,16,4,267,26100,473,24,2.79,2.82,126,1
WN,SAN,0,89,18,2,286,27300,473,24,2.68,3.45,160,1
WN,IND,0,55,8,4,81,26100,473,24,2.79,2.82,126,1
WN,STL,0,72,10,6,106,26100,473,24,2.79,2.82,126,1
WN,BOS,0,50,9,7,68,26100,473,24,2.79,2.82,126,1
WN,ORF,0,27,11,4,30,26100,473,24,2.79,2.82,126,1
WN,ATL,0,49,12,7,79,26100,473,24,2.79,2.82,126,1
WN,IND,0,78,14,6,74,26100,473,24,2.79,2.82,126,1
WN,PVD,8,20,19,3,61,26100,473,24,2.79,2.82,126,1
WN,STL,0,29,11,3,105,26100,473,24,2.79,2.82,126,1
WN,CLT,0,52,9,4,55,26100,473,24,2.79,2.82,126,1
WN,SDF,6,22,12,5,84,26100,473,24,2.79,2.82,126,1
