Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-DFW,15.4745003,750.0222222,27.19793792,239.9921357,937,0.360016427,2,0
CLT-DFW,15.47491996,720.5494505,25.59049718,247.5073764,937,0.35421129,2,0
CLT-DFW,15.63463907,748.7391304,23.93930147,249.4759765,937,0.358627009,2,0
CLT-DFW,15.15323679,712.9619565,25.49722297,236.9716574,937,0.34161426,2,0
CLT-DFW,15.52624619,708.5333333,23.73885836,233.4936423,937,0.344145909,2,0
CLT-DFW,16.26701465,761.1703297,21.88729661,235.3996208,937,0.346396583,2,0
CLT-DFW,16.91439275,764.4456522,22.74297671,247.9757202,937,0.347369747,2,0
CLT-DFW,16.48917232,859.1956522,24.97981377,215.5177232,937,0.376137272,2,0
CLT-DFW,18.09185788,914.2055556,23.92195739,254.5069028,937,0.426833191,2,0
CLT-DFW,18.99388461,733.2912088,21.51011484,284.4317469,937,0.361770646,2,0
CLT-DFW,16.11526147,2070.483696,17.00761247,260.4788781,937,1,1,0
CLT-DFW,16.00820555,2013.875,23.57773211,206.498443,937,1,1,0
CLT-DFW,17.07241905,2012.56044,22.08660348,233.4921416,937,1,1,0
CLT-DFW,16.75915388,2050.868132,25.4996783,206.5277265,937,1,1,0
CLT-DFW,16.48884894,1957.576087,24.4686205,209.5005146,937,1,1,0
CLT-DFW,16.48889679,1953.842391,28.42467771,193.0019259,937,1,1,0
CLT-DFW,17.39784552,1853.616667,26.3897391,214.5044531,937,1,1,0
CLT-DFW,18.03627923,1978.225275,26.54467457,217.4999841,937,1,1,0
CLT-DFW,17.34140702,1939.434783,24.90840205,219.4963279,937,1,1,0
CLT-DFW,17.71350136,1933.858696,26.27365134,225.4816308,937,1,1,0
CLT-DFW,18.40979998,1928.394444,24.78480231,247.9997677,937,1,1,0
CLT-DFW,19.63713319,1821.884615,30.24681499,232.9998759,937,1,1,0
CLT-DFW,19.20786824,1690.342391,30.06142908,218.4944314,937,1,1,0
CLT-DFW,20.17018503,1709.282609,30.53381583,249.4932922,937,1,1,0
CLT-DFW,19.42303243,1831.294444,27.28730191,245.4948449,937,1,1,0
CLT-DFW,20.33141692,1725.131868,28.56774002,248.0107532,937,1,1,0
CLT-DFW,19.5293275,1770.146739,29.34992987,245,937,1,1,0
CLT-DFW,19.15317204,1763.940217,31.05659208,227.465222,937,1,1,0
CLT-DFW,18.24778503,1685.532967,26.83146113,239,937,1,1,0
CLT-DFW,11.74220574,878.8406593,15.27414952,171.0244677,937,1,1,0
CLT-DFW,10.66872401,1467.586957,16.8371381,152,937,1,1,0
CLT-DFW,11.57808253,1417.831522,22.52188102,145.4598998,937,1,1,0
CLT-DFW,11.79296023,1484.427778,20.36683296,157.0001496,937,1,1,0
CLT-DFW,13.39245388,1790.445055,25.20439569,157.4872929,937,1,1,0
CLT-DFW,14.19423693,1873.25,26.31387974,161.4966417,937,1,1,0
CLT-DFW,15.26147279,1990.836957,31.01916842,163,937,1,1,0
CLT-DFW,16.06301941,1927.061111,27.13243725,187.0139891,937,1,1,0
CLT-DFW,21.2917152,1738.181319,33.52601712,241.0067429,937,1,1,0
CLT-DFW,22.51563668,1720.673913,32.63901021,273.9715157,937,1,1,0
CLT-DFW,23.10795322,1821.173913,28.85162569,288.0286956,937,1,1,0
CLT-DFW,21.29574709,1806.555556,30.89097572,246.5685837,937,1,1,0
CLT-DFW,21.50723676,1839.906593,34.3729201,233.0304113,937,0.953419907,2,1
CLT-DFW,19.90370029,1836.804348,32.482323,217.506985,937,0.927658593,2,1
CLT-DFW,20.33088643,1846.902174,34.83074666,223.4995942,937,0.926255022,2,1
CLT-DFW,20.06403415,1875.307692,31.81502934,236.0071477,937,0.918684525,2,1
CLT-MIA,16.3604572,127.65,33.92757962,118.5065764,651,0.127925751,2,0
CLT-MIA,14.95633762,129,21.13346425,97.2762632,651,0.127675542,2,0
CLT-MIA,14.95926634,242.0108696,27.66083396,97.29268293,651,0.210766959,2,0
CLT-MIA,15.96035047,255.2663043,42.17095969,110.9018816,651,0.212343011,2,0
CLT-MIA,16.05717425,132.543956,38.69321227,103.5322044,651,0.126949795,2,0
